Date,Symbol,Open,High,Low,Close,Adj Close,Volume
10/21/2013,AAPL,73.110001,74.900002,73.074287,74.480003,61.239429,99526700
10/22/2013,AAPL,75.201431,75.492859,72.575714,74.267143,61.0644,133515900
10/23/2013,AAPL,74.14286,75.095711,74.14286,74.994286,61.662289,78430800
10/24/2013,AAPL,75,76.067146,74.635712,75.987144,62.478638,96191200
10/25/2013,AAPL,75.902855,76.175713,75.015717,75.137146,61.779747,84448000
10/28/2013,AAPL,75.577141,75.85714,74.744286,75.697144,62.240196,137610200
10/29/2013,AAPL,76.610001,77.035713,73.505714,73.811432,60.689693,158951800
10/30/2013,AAPL,74.230003,75.360001,73.860001,74.985718,61.655243,88540900
10/31/2013,AAPL,75,75.355713,74.46714,74.671425,61.396824,68924100
11/1/2013,AAPL,74.860001,74.971428,73.691429,74.290001,61.08321,68722500
11/4/2013,AAPL,74.442856,75.260002,74.115715,75.25,61.872543,61156900
11/5/2013,AAPL,74.940002,75.555717,74.714287,75.064285,61.719852,66303300
11/6/2013,AAPL,74.878571,74.980003,74.028572,74.417145,63.779209,55843900
11/7/2013,AAPL,74.225716,74.741432,73.197144,73.21286,62.747082,65655100
11/8/2013,AAPL,73.511429,74.447144,73.227142,74.365715,63.735111,69829200
11/11/2013,AAPL,74.284286,74.524284,73.487144,74.150002,63.550251,56863100
11/12/2013,AAPL,73.952858,74.845711,73.85714,74.28714,63.667797,51069200
11/13/2013,AAPL,74,74.60714,73.851425,74.375717,63.743702,49305200
11/14/2013,AAPL,74.687141,75.611427,74.552856,75.451431,64.665649,70604800
11/15/2013,AAPL,75.225716,75.584282,74.927139,74.998573,64.277519,79480100
11/18/2013,AAPL,74.998573,75.312859,74.028572,74.089996,63.498821,61236000
11/19/2013,AAPL,74.147141,74.76857,73.995712,74.221428,63.611477,52234700
11/20/2013,AAPL,74.175713,74.345711,73.475716,73.571426,63.054394,48479200
11/21/2013,AAPL,73.942856,74.458572,73.381432,74.44857,63.806152,65506700
11/22/2013,AAPL,74.21714,74.594284,74.075714,74.257141,63.642082,55931400
11/25/2013,AAPL,74.431427,75.124283,74.428574,74.82,64.124481,57327900
11/26/2013,AAPL,74.874283,76.591431,74.85714,76.199997,65.307205,100345700
11/27/2013,AAPL,76.615715,78,76.199997,77.994286,66.845009,90862100
11/29/2013,AAPL,78.497147,79.761429,78.258568,79.438568,68.082802,79531900
12/2/2013,AAPL,79.714287,80.618568,78.688568,78.747147,67.490242,118136200
12/3/2013,AAPL,79.757141,80.91143,79.668571,80.902855,69.337791,112742000
12/4/2013,AAPL,80.785713,81.312859,80.117142,80.714287,69.17617,94452400
12/5/2013,AAPL,81.807144,82.162857,80.915718,81.128571,69.531235,111895000
12/6/2013,AAPL,80.827141,80.964287,79.938568,80.002853,68.566452,86088100
12/9/2013,AAPL,80.128571,81.368568,80.128571,80.918571,69.35125,80123400
12/10/2013,AAPL,80.511429,81.125717,80.171425,80.792854,69.24353,69567400
12/11/2013,AAPL,81,81.567146,79.955711,80.194283,68.730499,89929700
12/12/2013,AAPL,80.305717,80.762856,80.004288,80.077141,68.630119,65572500
12/13/2013,AAPL,80.407143,80.41143,79.095711,79.204285,67.882027,83205500
12/16/2013,AAPL,79.288574,80.377144,79.28714,79.64286,68.257927,70648200
12/17/2013,AAPL,79.401428,79.919998,79.054283,79.284286,67.950592,57475600
12/18/2013,AAPL,78.528572,78.778572,76.971428,78.681427,67.433922,141465800
12/19/2013,AAPL,78.5,78.571426,77.675713,77.779999,66.661339,80077200
12/20/2013,AAPL,77.918571,78.80143,77.831429,78.431427,67.21965,109103400
12/23/2013,AAPL,81.14286,81.531425,80.394287,81.441429,69.799385,125326600
12/24/2013,AAPL,81.412857,81.697144,80.861427,81.095711,69.50309,41888700
12/26/2013,AAPL,81.157143,81.35714,80.482857,80.557144,69.041496,51002000
12/27/2013,AAPL,80.545715,80.629997,79.928574,80.012856,68.574997,56471100
12/30/2013,AAPL,79.637146,80.012856,78.902855,79.21714,67.893066,63407400
12/31/2013,AAPL,79.167145,80.182854,79.14286,80.145714,68.688881,55771100
1/2/2014,AAPL,79.382858,79.575714,78.860001,79.01857,67.722862,58671200
1/3/2014,AAPL,78.980003,79.099998,77.204285,77.28286,66.235268,98116900
1/6/2014,AAPL,76.778572,78.114288,76.228569,77.704285,66.596466,103152700
1/7/2014,AAPL,77.760002,77.994286,76.845711,77.148575,66.120186,79302300
1/8/2014,AAPL,76.972855,77.937141,76.955711,77.637146,66.538902,64632400
1/9/2014,AAPL,78.114288,78.122856,76.478569,76.645714,65.689217,69787200
1/10/2014,AAPL,77.118568,77.257141,75.872856,76.134285,65.25087,76244000
1/13/2014,AAPL,75.701431,77.5,75.697144,76.53286,65.592491,94623200
1/14/2014,AAPL,76.888573,78.104286,76.808571,78.055717,66.897652,83140400
1/15/2014,AAPL,79.074287,80.028572,78.808571,79.622856,68.240753,97909700
1/16/2014,AAPL,79.271431,79.550003,78.811432,79.178574,67.859993,57319500
1/17/2014,AAPL,78.78286,78.867142,77.128571,77.238571,66.197319,106684900
1/21/2014,AAPL,77.284286,78.581429,77.202858,78.438568,67.225777,82131700
1/22/2014,AAPL,78.701431,79.612854,78.258568,78.78714,67.524521,94996300
1/23/2014,AAPL,78.562859,79.5,77.830002,79.454285,68.096291,100809800
1/24/2014,AAPL,79.14286,79.374283,77.821426,78.010002,66.858467,107338700
1/27/2014,AAPL,78.581429,79.257141,77.964287,78.64286,67.400864,138719700
1/28/2014,AAPL,72.68,73.571426,71.724289,72.35714,62.013683,266380800
1/29/2014,AAPL,71.992859,72.48143,71.23143,71.535713,61.309677,125702500
1/30/2014,AAPL,71.791428,72.35714,70.957146,71.397141,61.190922,169625400
1/31/2014,AAPL,70.739998,71.647141,70.507141,71.514282,61.291309,116199300
2/3/2014,AAPL,71.80143,72.53286,71.328575,71.647141,61.405186,100366000
2/4/2014,AAPL,72.264282,72.779999,71.822861,72.684288,62.294071,94170300
2/5/2014,AAPL,72.365715,73.611427,72.321426,73.227142,62.759319,82086200
2/6/2014,AAPL,72.865715,73.35714,72.544289,73.215714,65.476723,64441300
2/7/2014,AAPL,74.482857,74.704285,73.91143,74.239998,66.392738,92570100
2/10/2014,AAPL,74.094284,75.998573,74,75.57,67.582138,86389800
2/11/2014,AAPL,75.80143,76.821426,75.64286,76.565712,68.472603,70564200
2/12/2014,AAPL,76.707146,77.080002,76.177139,76.559998,68.467506,77025200
2/13/2014,AAPL,76.379997,77.835716,76.314285,77.775711,69.554703,76849500
2/14/2014,AAPL,77.495712,77.997147,77.315712,77.71286,69.49852,68231100
2/18/2014,AAPL,78,78.741432,77.944283,77.998573,69.754028,65062900
2/19/2014,AAPL,77.821426,78.127144,76.335716,76.767143,68.652756,78442000
2/20/2014,AAPL,76.141426,76.714287,75.571426,75.878571,67.858101,76464500
2/21/2014,AAPL,76.112854,76.367142,74.942856,75.035713,67.10434,69696200
2/24/2014,AAPL,74.735718,75.702858,74.631432,75.364288,67.398178,72227400
2/25/2014,AAPL,75.625717,75.652855,74.428574,74.580002,66.696777,57988000
2/26/2014,AAPL,74.80143,75,73.657143,73.907143,66.095062,69054300
2/27/2014,AAPL,73.877144,75.540001,73.721428,75.381432,67.413513,75470500
2/28/2014,AAPL,75.582855,76.10714,74.58857,75.177139,67.230804,92992200
3/3/2014,AAPL,74.774284,75.807144,74.687141,75.394287,67.424995,59695300
3/4/2014,AAPL,75.85714,76.091431,75.395714,75.891426,67.869591,64785000
3/5/2014,AAPL,75.845711,76.39286,75.589996,76.05143,68.01268,50015700
3/6/2014,AAPL,76.112854,76.348572,75.442856,75.821426,67.806984,46372200
3/7/2014,AAPL,75.870003,75.997147,75.150002,75.777145,67.767372,55182400
3/10/2014,AAPL,75.480003,76.190002,75.477142,75.845711,67.82872,44646000
3/11/2014,AAPL,76.492859,76.96286,76.084282,76.584282,68.48922,69806100
3/12/2014,AAPL,76.358574,76.764282,76,76.658569,68.555649,49831600
3/13/2014,AAPL,76.777145,77.094284,75.594284,75.807144,67.794228,64435700
3/14/2014,AAPL,75.541428,75.841431,74.714287,74.955711,67.032784,59299800
3/17/2014,AAPL,75.385712,75.709999,75.121429,75.248573,67.294701,49886200
3/18/2014,AAPL,75.128571,75.995712,75.028572,75.914284,67.89003,52411800
3/19/2014,AAPL,76.03714,76.605713,75.571426,75.894287,67.872169,56189000
3/20/2014,AAPL,75.69857,76.095711,75.335716,75.528572,67.54509,52099600
3/21/2014,AAPL,75.989998,76.25,75.190002,76.124283,68.077827,93511600
3/24/2014,AAPL,76.917145,77.214287,76.437141,77.027145,68.885262,88925200
3/25/2014,AAPL,77.35714,77.964287,77.084282,77.855713,69.626259,70573300
3/26/2014,AAPL,78.074287,78.428574,76.980003,77.111427,68.96064,74942000
3/27/2014,AAPL,77.145714,77.35714,76.445717,76.779999,68.664246,55507900
3/28/2014,AAPL,76.902855,76.991432,76.321426,76.694283,68.587601,50141000
3/31/2014,AAPL,77.03286,77.258568,76.561432,76.677139,68.572273,42167300
4/1/2014,AAPL,76.822861,77.410004,76.681427,77.378571,69.199539,50190000
4/2/2014,AAPL,77.482857,77.639999,77.18,77.507141,69.314529,45105200
4/3/2014,AAPL,77.341431,77.5,76.805717,76.970001,68.834145,40586000
4/4/2014,AAPL,77.115715,77.14286,75.797142,75.974289,67.943726,68812800
4/7/2014,AAPL,75.431427,75.842857,74.555717,74.781425,66.87693,72462600
4/8/2014,AAPL,75.027145,75.160004,74.099998,74.777145,66.8731,60972100
4/9/2014,AAPL,74.662857,75.784286,74.574287,75.760002,67.75206,51542400
4/10/2014,AAPL,75.811432,76.034286,74.738571,74.78286,66.878227,59913000
4/11/2014,AAPL,74.14286,74.690002,73.877144,74.230003,66.383789,67929400
4/14/2014,AAPL,74.557144,74.594284,73.887146,74.525711,66.648232,51418500
4/15/2014,AAPL,74.324287,74.519997,73.047142,73.994286,66.172997,66622500
4/16/2014,AAPL,74.007141,74.441429,73.44857,74.144287,66.307129,53691400
4/17/2014,AAPL,74.285713,75.394287,74.171425,74.991432,67.064743,71083600
4/21/2014,AAPL,75.048569,76.019997,74.851425,75.881432,67.860657,45637200
4/22/2014,AAPL,75.472855,75.975716,75.214287,75.957146,67.928375,50640800
4/23/2014,AAPL,75.580002,75.875717,74.921425,74.964287,67.040466,98735000
4/24/2014,AAPL,81.172859,81.428574,80.104286,81.110001,72.536575,189977900
4/25/2014,AAPL,80.647141,81.71286,80.565712,81.705711,73.069313,97568800
4/28/2014,AAPL,81.828575,85.10714,81.792854,84.870003,75.899139,167371400
4/29/2014,AAPL,84.82,85.139999,84.215714,84.618568,75.674263,84344400
4/30/2014,AAPL,84.662857,85.632858,84.257141,84.298569,75.3881,114160200
5/1/2014,AAPL,84.571426,84.971428,83.765717,84.497147,75.565689,61012000
5/2/2014,AAPL,84.620003,84.885712,84.244286,84.654289,75.706215,47878600
5/5/2014,AAPL,84.305717,85.85714,84.285713,85.851425,76.776825,71766800
5/6/2014,AAPL,85.971428,86.344284,84.915718,84.915718,75.940018,93641100
5/7/2014,AAPL,85.035713,85.327141,83.961426,84.618568,75.674263,70716100
5/8/2014,AAPL,84.035713,84.915718,83.771431,83.998573,78.15863,57574300
5/9/2014,AAPL,83.505714,83.75,82.904289,83.648575,77.832993,72899400
5/12/2014,AAPL,83.927139,84.808571,83.914284,84.690002,78.801994,53302200
5/13/2014,AAPL,84.571426,84.934288,84.385712,84.822861,78.925613,39934300
5/14/2014,AAPL,84.632858,85.342857,84.534286,84.83857,78.940239,41601000
5/15/2014,AAPL,84.957146,85.228569,84.005714,84.117142,78.268967,57711500
5/16/2014,AAPL,84.089996,85.361427,83.628571,85.358574,79.424072,69064100
5/19/2014,AAPL,85.407143,86.761429,85.332855,86.370003,80.365196,79438800
5/20/2014,AAPL,86.358574,86.628571,85.818573,86.387146,80.381149,58709000
5/21/2014,AAPL,86.261429,86.671425,86.008568,86.615715,80.593834,49214900
5/22/2014,AAPL,86.657143,87.121429,86.300003,86.752853,80.721428,50190000
5/23/2014,AAPL,86.75,87.818573,86.638573,87.732857,81.633316,58052400
5/27/2014,AAPL,87.982857,89.408569,87.947144,89.375717,83.161942,87216500
5/28/2014,AAPL,89.431427,89.975716,89.111427,89.144287,82.946617,78870400
5/29/2014,AAPL,89.692856,90.98143,89.681427,90.76857,84.457962,94118500
5/30/2014,AAPL,91.139999,92.024284,89.842857,90.428574,84.141617,141005200
6/2/2014,AAPL,90.565712,90.690002,88.928574,89.807144,83.563377,92337700
6/3/2014,AAPL,89.779999,91.248573,89.75,91.077141,84.745071,73177300
6/4/2014,AAPL,91.062859,92.555717,90.872856,92.117142,85.712769,83870500
6/5/2014,AAPL,92.314285,92.767143,91.80143,92.478569,86.049088,75951400
6/6/2014,AAPL,92.842857,93.03714,92.067146,92.224289,85.812477,87484600
6/9/2014,AAPL,92.699997,93.879997,91.75,93.699997,87.185577,75415000
6/10/2014,AAPL,94.730003,95.050003,93.57,94.25,87.697365,62777000
6/11/2014,AAPL,94.129997,94.760002,93.470001,93.860001,87.334457,45681000
